CATEG	MODEL	B0	B1	MALE	AGE
BCL2_MYC	prox	3.06466473084296	-3.59577130215849	0.773794004109975	0.0161757355896664
CDX2.high	prox	3.48522075715991	-3.26969626802245	-0.226475355367495	0.010483364289877
CRLF2	prox	5.26085761792468	-5.80621780767723	0.0552581114867659	-0.00231585623323159
DUX4	prox	9.80133535222693	-10.0596342289221	0.559721671954838	0.0143708142526584
ETV6.RUNX1	prox	9.60854155498183	-10.2141128265208	0.00285043967073366	0.00106068153572286
HLF	prox	3.40920818795758	-3.15299156526883	0.050590783941531	0.00178226889449516
Hyperdiploid	prox	6.00365393510763	-6.62161779419101	-0.0297428392007793	-0.00850626787931849
Hypodiploid	prox	7.60452456892007	-8.49565998098961	0.132400274336361	0.0133248298110588
iAMP21	prox	4.01962363306901	-4.68293202866177	0.183558141368107	-0.00470808761245854
IKZF1.n159y	prox	3.94082526649393	-3.53559336328519	0.0679597249190639	0.00466884481288316
KMT2A	prox	8.37489752061479	-7.71663011615193	-0.386485564819422	-0.00514663269096864
MEF2D	prox	3.95599321335919	-3.90683266110504	0.227398607966264	-0.00247677021212984
NUTM1	prox	4.17136615237822	-4.0203156779774	0.389555670446018	-0.0110316031274395
PAX5.alt	prox	5.43002778465482	-5.90874149384744	0.512787723075455	-0.000731564346071952
PAX5.p80r	prox	6.06328138670532	-6.62533899725856	-0.142252336440009	0.00744430765989365
Ph	prox	4.90237620542469	-6.28933879287047	0.0606879828314247	0.0244750031958274
TCF3.PBX1	prox	4.71930311616979	-4.71037808031199	-0.0392959044289335	-0.00486197920062068
ZNF384	prox	7.35926074710885	-7.59814304603161	-0.261386868788741	0.0213077493123448
BCL2_MYC	freq	1.64336106203049	-4.209691847068	0.557513368258804	0.0201060849879971
CDX2.high	freq	2.77486363209996	-4.71760702529875	-0.30342537577173	0.0182350656286955
CRLF2	freq	4.15494753296085	-5.84987326750107	0.071477348717454	-0.00206504900955134
DUX4	freq	9.87360594360323	-11.2458749790284	0.446067470005914	0.0145852410356178
ETV6.RUNX1	freq	9.24877622574411	-10.7028729789866	-0.0983806535159504	-0.000764865539766263
HLF	freq	2.35745359967149	-4.40590248453447	0.00501796540158569	0.00442387052731769
Hyperdiploid	freq	5.39205902022461	-6.85824436572621	-0.0450238384946303	-0.0124405989012097
Hypodiploid	freq	5.73421105137917	-8.03834285660545	0.123280163118649	0.012704156566945
iAMP21	freq	1.1094579611004	-3.80631761363565	0.254995068208941	-0.00247073470253075
IKZF1.n159y	freq	3.57153694402971	-4.91287883835215	0.0651637917650071	0.00334245185356608
KMT2A	freq	8.14557104889827	-8.70574511288261	-0.283599125946844	-0.00412761904763349
MEF2D	freq	2.34172398775144	-4.55768231647962	0.077517993631705	0.00742716961493879
NUTM1	freq	2.91657074411677	-5.25509895690109	0.417575199217126	-0.01034000621446
PAX5.alt	freq	4.84318300631344	-6.61754525529558	0.472544417762679	-0.00488674413718548
PAX5.p80r	freq	5.9868855872974	-8.34559986960842	-0.0175801009265147	0.0034812512120874
Ph	freq	4.36049725624009	-6.64528759890164	-0.0377592450655773	0.0209900732995895
TCF3.PBX1	freq	4.26884563141609	-6.08238500932315	-0.0350552388500034	-0.000505493847453351
ZNF384	freq	6.79193568626564	-8.52308693464614	-0.048343444334757	0.0163893496429809
